City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Miraflores,MX,62.6,clear sky,19.2167,-98.8083,Hotel Mansión
629,Makungu,TZ,65.79,moderate rain,-8.7333,35.2833,Complex
635,Chaumont,FR,46.0,broken clouds,48.1167,5.1333,Hôtel Restaurant Des Remparts
638,Shahreza,IR,55.49,overcast clouds,32.0339,51.8794,خوابگاه
641,Rena,NO,36.81,scattered clouds,61.1348,11.3641,Østerdalen Hotell
647,Nakhabino,RU,37.4,overcast clouds,55.8514,37.1814,Moscow Country Club
648,Kuopio,FI,35.6,overcast clouds,62.8924,27.677,Hotel Jahtihovi
650,Chillicothe,US,35.01,clear sky,39.3331,-82.9824,Holiday Inn Express Chillicothe East
653,Azuaga,ES,64.99,clear sky,38.2667,-5.6833,Casa Rural La Hoya
658,Rio Gallegos,AR,60.8,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
660,Naron,ES,59.0,clear sky,43.5167,-8.1528,Marcial
661,Erdemli,TR,55.96,overcast clouds,36.605,34.3084,VERAN HOTEL BEACH CLUB RESTAURANT
668,Perleberg,DE,44.01,light rain,53.0667,11.8667,Sport- & Vital-Resort Neuer Hennings Hof
671,Gat,IL,66.99,clear sky,31.61,34.7642,OlusHome
675,Villa Carlos Paz,AR,66.2,scattered clouds,-31.4241,-64.4978,Monte Carlo
677,Bud,US,35.01,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
680,Ronse,BE,51.01,clear sky,50.7505,3.6049,Hostellerie Lou Pahou
681,Shache,CN,58.68,few clouds,38.4167,77.2406,Delong Hotel
683,Lasa,IT,57.2,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
686,Prikubanskiy,RU,35.74,overcast clouds,45.0015,41.1795,Hotel Prague
688,Syracuse,IT,60.8,few clouds,37.0881,15.2792,Hotel Posta
689,Tvedestrand,NO,46.0,clear sky,58.622,8.9315,Tvedestrand Fjordhotell
690,Obukhiv,UA,41.0,mist,50.11,30.6227,Pegas Hotel
