City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Pryozerne,UA,2021-03-05 10:57:25,45.2698,36.3303,49.95,65,25,21.99
119,Daoukro,CI,2021-03-05 10:57:26,7.0591,-3.9631,90.36,52,86,5.88
120,Cidreira,BR,2021-03-05 10:57:26,-30.1811,-50.2056,73.0,87,96,12.71
121,Cacu,BR,2021-03-05 10:57:31,-18.5567,-51.1308,72.16,90,98,4.5
122,Maragogi,BR,2021-03-05 10:57:31,-9.0122,-35.2225,80.02,81,65,11.48
123,Constitucion,CL,2021-03-05 10:57:32,-35.3333,-72.4167,59.68,80,0,1.25
124,Muros,ES,2021-03-05 10:57:38,42.7762,-9.0603,60.01,66,23,10.0
125,Saint-Georges,GD,2021-03-05 10:57:39,12.0564,-61.7485,77.0,88,75,17.27
126,Tamandare,BR,2021-03-05 10:57:40,-8.7597,-35.1047,79.43,83,77,10.65
127,Derzhavinsk,KZ,2021-03-05 10:57:41,51.1,66.3167,26.28,83,92,27.69
128,Sept-Iles,CA,2021-03-05 10:57:41,50.2001,-66.3821,15.01,67,40,11.5
129,Sabang,ID,2021-03-05 10:57:42,5.8933,95.3214,83.62,71,47,2.53
130,Souillac,MU,2021-03-05 10:57:44,-20.5167,57.5167,82.4,74,75,11.5
131,Kommunar,RU,2021-03-05 10:57:44,59.6206,30.39,24.8,68,40,11.18
132,Cabo Rojo,PR,2021-03-05 10:57:46,18.0866,-67.1457,75.99,77,0,3.0
133,Grindavik,IS,2021-03-05 10:57:47,63.8424,-22.4338,41.0,93,75,11.5
134,Preili,LV,2021-03-05 10:57:47,56.2944,26.7246,30.29,30,47,12.37
135,Bambous Virieux,MU,2021-03-05 10:57:48,-20.3428,57.7575,86.0,74,75,11.5
136,Marostica,IT,2021-03-05 10:57:50,45.7468,11.6579,55.99,65,0,4.05
137,Matara,LK,2021-03-05 10:57:51,5.9485,80.5353,82.99,63,40,4.85
138,Serik,TR,2021-03-05 10:57:52,36.9169,31.0989,64.4,32,0,6.91
139,Sinnamary,GF,2021-03-05 10:57:53,5.3833,-52.95,78.37,85,23,12.46
140,Geraldton,AU,2021-03-05 10:55:43,-28.7667,114.6,75.2,73,10,18.41
141,Tiznit,MA,2021-03-05 10:57:56,29.5833,-9.5,59.13,61,55,7.45
142,Jalu,LY,2021-03-05 10:57:57,29.0331,21.5482,72.75,17,39,15.3
143,Tifton,US,2021-03-05 10:57:58,31.4505,-83.5085,50.0,81,1,7.43
144,Idlib,SY,2021-03-05 10:58:01,35.9306,36.6339,59.41,61,0,22.21
145,Barra Do Garcas,BR,2021-03-05 10:58:40,-15.89,-52.2567,72.16,94,98,1.3
146,Laakirchen,AT,2021-03-05 10:58:41,47.9819,13.8217,37.0,93,100,5.01
147,Klaksvik,FO,2021-03-05 10:58:42,62.2266,-6.589,39.2,81,75,13.8
148,Praia,CV,2021-03-05 10:58:47,14.9215,-23.5087,71.6,68,20,25.32
149,Paamiut,GL,2021-03-05 10:58:47,61.994,-49.6678,32.09,95,100,5.32
150,Dingle,PH,2021-03-05 10:58:49,10.9995,122.6711,77.47,78,4,8.03
151,Podor,MR,2021-03-05 10:58:49,16.6527,-14.9587,82.4,23,0,2.3
152,Tiruchchirappalli,IN,2021-03-05 10:58:50,10.8167,78.6833,95.0,36,20,9.22
153,Faya,SA,2021-03-05 10:58:51,18.3851,42.4509,75.2,31,20,6.91
154,Marinhas,PT,2021-03-05 10:58:52,41.5591,-8.783,62.6,63,0,4.61
155,Hobyo,SO,2021-03-05 10:58:52,5.3505,48.5268,83.34,58,0,19.28
156,Berlevag,NO,2021-03-05 10:58:53,70.8578,29.0864,23.0,86,75,9.22
157,Salalah,OM,2021-03-05 10:58:55,17.0151,54.0924,89.6,35,0,12.66
158,Talara,PE,2021-03-05 10:59:01,-4.5772,-81.2719,75.81,77,98,8.41
159,Vila Franca Do Campo,PT,2021-03-05 10:59:02,37.7167,-25.4333,57.2,77,20,9.22
160,Mayumba,GA,2021-03-05 10:59:03,-3.432,10.6554,84.85,75,57,9.57
161,Safaga,EG,2021-03-05 10:59:03,26.7292,33.9365,68.0,37,0,11.5
162,Benguela,AO,2021-03-05 10:59:04,-12.5763,13.4055,85.86,63,13,11.23
163,Igarka,RU,2021-03-05 10:59:06,67.4667,86.5833,1.35,87,100,9.28
164,Nouadhibou,MR,2021-03-05 10:59:07,20.931,-17.0347,64.4,68,0,23.02
165,Namibe,AO,2021-03-05 10:59:08,-15.1961,12.1522,84.2,61,0,11.5
166,Vuktyl,RU,2021-03-05 10:59:10,63.8567,57.3094,11.41,87,100,5.59
167,Chicama,PE,2021-03-05 10:59:11,-7.8447,-79.1469,74.3,81,100,1.7
168,La Tuque,CA,2021-03-05 10:59:19,47.4334,-72.7824,-0.4,71,100,10.36
169,Novyy Urengoy,RU,2021-03-05 10:59:24,66.0833,76.6333,15.53,95,100,8.79
170,Luanda,AO,2021-03-05 10:58:25,-8.8368,13.2343,86.0,66,75,3.44
171,Mitsamiouli,KM,2021-03-05 10:59:31,-11.3847,43.2844,83.43,78,92,15.93
172,Taoudenni,ML,2021-03-05 10:59:31,22.6783,-3.9836,82.63,12,0,12.64
173,Taltal,CL,2021-03-05 10:59:33,-25.4,-70.4833,67.24,81,78,1.97
174,Libano,CO,2021-03-05 10:59:33,4.9218,-75.0623,60.3,86,99,2.08
175,Castro,BR,2021-03-05 10:59:34,-24.7911,-50.0119,66.07,94,100,9.28
176,Katunino,RU,2021-03-05 10:59:35,64.3862,40.6298,10.4,56,75,4.47
177,Hwange,ZW,2021-03-05 10:59:40,-18.3693,26.5019,87.67,41,0,2.53
178,Agirish,RU,2021-03-05 10:59:41,61.9247,63.0231,19.96,83,73,1.86
179,Sisimiut,GL,2021-03-05 10:59:41,66.9395,-53.6735,20.95,76,50,11.23
180,Dharchula,IN,2021-03-05 10:59:43,29.85,80.5333,72.63,17,55,6.73
181,Morondava,MG,2021-03-05 10:59:59,-20.2833,44.2833,78.93,82,100,16.84
182,Kambove,CD,2021-03-05 11:00:01,-10.8764,26.5969,73.65,84,88,7.83
